residence	registration	user_id	mail	sex	username	birthdate	name	job	race	address
	09/20/2014, 00:00:00	593	ianalves@bol.com.br	M	almeidaluna		Sr. Diego da Cruz			"Via de Barros
Santo Agostinho
68921830 Sales da Mata / MA"
	2019-11-05	1430	franciscorezende@ig.com.br	F	maria-juliasilveira		Isabel Ramos	Jóquei	black	"Passarela Joaquim Aragão, 58
Universitário
67214680 Jesus do Oeste / RS"
	2015-06-24	1557	wieklisa@googlemail.com		timo30		Siegbert Benthin	Chirurgiemechaniker		"Wilmsenplatz 98
61933 Riesa"
滋賀県三鷹市丸の内1丁目21番5号 台場アーバン622	21 May 2019	1890	kyosuke54@yahoo.com		yoichisato	1990-08-13	阿部 明美	アイドル		富山県富里市鶴ヶ丘41丁目18番17号
"Lagoa Rodrigues, 206
Horto
91399325 Lima dos Dourados / MT"	2014/05/22	1487	maria-ceciliaalmeida@uol.com.br	F	caldeiralavinia		Larissa Pires	Eletricista		"Praça de Nogueira, 33
Dom Silverio
14934191 Jesus da Praia / PA"
	2016-08-21	629	florentinelinke@gmx.de	M	tilman62	1927-01-20	Andree Losekann			
"Trecho de Pereira, 7
Vila Esplanada
26483-652 da Luz / DF"	03 Sep 2021	1191	henrique11@uol.com.br	F	rochaesther	2014-09-17	Heloísa Novaes		white	"Estrada Isis Silva, 660
Nova Cachoeirinha
15478877 Moraes de Dias / CE"
"Colônia de Fogaça, 66
Santa Branca
10848231 Almeida / SC"	21 Jan 2018	1936	otavio85@bol.com.br	M	igorcosta		Marcelo Martins	Educador integrado à saúde pública	black	"Colônia Castro, 44
Custodinha
35230-869 Alves / TO"
	26 Jul 2014	1932	daniel88@yahoo.com		ubush	1977-06-21	Nancy Stewart			"Unit 0855 Box 3822
DPO AA 58144"
	05 Apr 2023	2034	emanuel96@yahoo.com.br		xcunha		Maria Clara Porto		white	"Rodovia Ramos
Santa Cruz
05794659 Peixoto Paulista / MG"
